latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
10.579965,122.61905,157.0,28800,Asia/Manila,GMT+8

time,temperature_2m (°C),relative_humidity_2m (%),precipitation (mm),wind_speed_10m (m/s),wind_direction_10m (°)
2022-01-12T03:00,24.0,93,0.00,4.43,28
2022-01-12T04:00,23.9,94,0.00,4.65,25
2022-01-12T05:00,23.8,94,0.00,4.61,27
2022-01-12T06:00,23.6,94,0.00,4.61,24
2022-01-12T07:00,24.2,92,0.00,4.88,23
2022-01-12T08:00,25.6,83,0.10,6.30,36
2022-01-12T09:00,26.6,77,0.10,6.95,40
2022-01-12T10:00,27.4,73,0.00,7.45,40
2022-01-12T11:00,27.9,71,0.00,7.76,38
2022-01-12T12:00,28.0,71,0.00,7.64,37
2022-01-12T13:00,28.2,70,0.00,7.78,37
2022-01-12T14:00,27.9,71,0.00,7.48,38
2022-01-12T15:00,27.8,71,0.00,7.26,38
2022-01-12T16:00,27.3,73,0.00,6.90,39
2022-01-12T17:00,26.7,74,0.00,6.47,39
2022-01-12T18:00,26.1,75,0.00,5.75,40
2022-01-12T19:00,26.0,76,0.00,5.55,34
2022-01-12T20:00,25.6,78,0.00,4.83,24
2022-01-12T21:00,25.2,81,0.00,5.07,15
2022-01-12T22:00,24.6,84,0.00,4.98,10
2022-01-12T23:00,24.3,85,0.00,4.95,14
2022-01-13T00:00,24.0,88,0.00,4.84,18
2022-01-13T01:00,23.9,89,0.00,4.98,22
2022-01-13T02:00,23.9,89,0.00,5.01,29
2022-01-13T03:00,23.6,90,0.00,5.25,31
2022-01-13T04:00,23.5,91,0.00,5.24,24
2022-01-13T05:00,23.1,92,0.00,5.15,18
2022-01-13T06:00,22.8,93,0.00,4.84,18
2022-01-13T07:00,23.5,90,0.00,4.78,20
2022-01-13T08:00,24.9,82,0.00,6.62,27
2022-01-13T09:00,26.2,74,0.00,7.46,35
2022-01-13T10:00,27.2,70,0.00,7.58,36
2022-01-13T11:00,27.8,67,0.00,7.72,37
2022-01-13T12:00,27.9,68,0.00,8.04,38
2022-01-13T13:00,27.9,67,0.00,8.32,39
2022-01-13T14:00,27.7,68,0.00,8.14,37
2022-01-13T15:00,27.1,71,0.00,8.18,39
2022-01-13T16:00,26.8,71,0.00,7.94,36
2022-01-13T17:00,26.1,73,0.00,7.68,35
2022-01-13T18:00,25.7,73,0.00,7.19,32
2022-01-13T19:00,25.6,73,0.00,7.05,32
2022-01-13T20:00,25.5,74,0.00,6.60,32
2022-01-13T21:00,25.4,75,0.00,6.33,31
2022-01-13T22:00,25.2,76,0.00,6.41,31
2022-01-13T23:00,25.0,77,0.00,7.07,33
2022-01-14T00:00,24.6,79,0.00,7.41,35
2022-01-14T01:00,24.4,80,0.00,6.94,36
2022-01-14T02:00,24.1,82,0.00,6.84,38
2022-01-14T03:00,24.0,83,0.00,6.72,37
2022-01-14T04:00,23.8,84,0.10,6.64,37
2022-01-14T05:00,23.8,83,0.10,6.41,34
2022-01-14T06:00,23.7,83,0.10,6.36,37
2022-01-14T07:00,24.1,82,0.10,6.48,38
2022-01-14T08:00,24.8,77,0.10,7.90,38
2022-01-14T09:00,25.6,73,0.10,8.50,41
2022-01-14T10:00,26.8,67,0.00,8.91,43
2022-01-14T11:00,27.5,63,0.00,9.06,43
2022-01-14T12:00,27.5,62,0.00,9.12,44
2022-01-14T13:00,27.5,61,0.00,9.06,42
2022-01-14T14:00,27.3,62,0.00,9.23,40
2022-01-14T15:00,27.1,61,0.00,8.79,41
2022-01-14T16:00,26.6,59,0.00,8.73,40
2022-01-14T17:00,26.1,59,0.00,7.80,36
2022-01-14T18:00,25.6,59,0.00,7.14,37
2022-01-14T19:00,25.3,63,0.00,7.13,34
2022-01-14T20:00,25.0,65,0.00,6.72,30
2022-01-14T21:00,25.0,66,0.00,6.69,32
2022-01-14T22:00,24.4,73,0.00,6.54,29
2022-01-14T23:00,24.0,75,0.00,6.62,29
2022-01-15T00:00,24.0,73,0.00,6.54,29
2022-01-15T01:00,23.8,70,0.00,6.26,27
2022-01-15T02:00,23.3,71,0.00,6.05,22
2022-01-15T03:00,23.0,72,0.00,5.95,20
2022-01-15T04:00,22.5,75,0.00,5.89,15
2022-01-15T05:00,22.8,76,0.00,6.00,24
2022-01-15T06:00,22.4,80,0.00,5.99,15
2022-01-15T07:00,23.0,78,0.00,6.39,20
2022-01-15T08:00,24.2,76,0.00,5.99,15
2022-01-15T09:00,25.9,66,0.00,7.94,31
2022-01-15T10:00,26.6,61,0.00,8.58,36
2022-01-15T11:00,27.6,56,0.00,8.70,44
2022-01-15T12:00,27.6,56,0.00,8.50,41
2022-01-15T13:00,27.8,56,0.00,8.70,43
2022-01-15T14:00,27.6,53,0.00,8.08,36
2022-01-15T15:00,27.1,58,0.00,7.95,40
2022-01-15T16:00,26.9,60,0.00,7.52,36
2022-01-15T17:00,26.2,66,0.00,7.28,37
2022-01-15T18:00,25.0,73,0.00,6.99,34
2022-01-15T19:00,24.5,78,0.00,6.85,29
2022-01-15T20:00,24.1,81,0.00,5.37,24
2022-01-15T21:00,24.0,83,0.00,5.37,27
2022-01-15T22:00,24.0,83,0.00,5.37,24
2022-01-15T23:00,24.2,79,0.00,6.11,21
2022-01-16T00:00,24.2,77,0.00,6.51,18
2022-01-16T01:00,24.5,75,0.00,6.36,24
2022-01-16T02:00,24.6,72,0.00,6.66,33
2022-01-16T03:00,24.5,72,0.00,6.32,35
2022-01-16T04:00,24.3,72,0.00,6.41,34
2022-01-16T05:00,24.0,74,0.00,6.36,30
2022-01-16T06:00,24.0,74,0.00,6.71,27
2022-01-16T07:00,24.3,76,0.00,7.47,28
2022-01-16T08:00,25.5,74,0.00,7.16,27
2022-01-16T09:00,26.7,69,0.00,9.30,36
2022-01-16T10:00,27.6,65,0.00,9.72,40
2022-01-16T11:00,27.9,64,0.00,9.60,39
2022-01-16T12:00,27.9,66,0.00,9.22,41
2022-01-16T13:00,28.0,66,0.00,9.49,42
2022-01-16T14:00,28.1,64,0.00,9.36,41
2022-01-16T15:00,27.6,67,0.00,8.99,42
2022-01-16T16:00,27.0,70,0.00,8.54,38
2022-01-16T17:00,26.4,71,0.00,7.73,40
2022-01-16T18:00,26.1,70,0.00,7.19,32
2022-01-16T19:00,26.1,69,0.00,7.16,36
2022-01-16T20:00,25.9,71,0.00,6.13,24
2022-01-16T21:00,25.4,75,0.00,6.66,28
2022-01-16T22:00,25.0,77,0.00,6.67,30
2022-01-16T23:00,24.6,79,0.00,6.24,32
2022-01-17T00:00,24.5,80,0.00,6.71,28
2022-01-17T01:00,24.4,80,0.00,7.17,30
2022-01-17T02:00,23.9,83,0.00,6.71,28
2022-01-17T03:00,23.5,85,0.00,6.58,24
2022-01-17T04:00,23.4,86,0.00,6.58,24
2022-01-17T05:00,23.2,86,0.00,6.53,25
2022-01-17T06:00,23.0,87,0.10,6.66,26
2022-01-17T07:00,23.7,85,0.00,6.66,28
2022-01-17T08:00,25.0,80,0.10,8.56,30
2022-01-17T09:00,26.0,74,0.10,9.46,33
2022-01-17T10:00,27.0,69,0.10,9.48,38
2022-01-17T11:00,27.6,67,0.00,9.56,37
2022-01-17T12:00,28.0,67,0.00,9.31,39
2022-01-17T13:00,28.2,66,0.00,9.10,39
2022-01-17T14:00,28.1,65,0.00,8.90,38
2022-01-17T15:00,27.6,67,0.00,8.50,41
2022-01-17T16:00,27.4,66,0.00,8.17,40
2022-01-17T17:00,26.8,67,0.00,8.49,43
2022-01-17T18:00,25.6,74,0.00,8.16,41
2022-01-17T19:00,25.7,72,0.00,7.39,30
2022-01-17T20:00,25.3,75,0.00,6.08,25
2022-01-17T21:00,25.1,76,0.00,6.75,27
2022-01-17T22:00,25.0,77,0.00,6.80,33
2022-01-17T23:00,24.9,78,0.00,7.00,31
2022-01-18T00:00,24.7,79,0.00,6.88,33
2022-01-18T01:00,24.6,80,0.00,6.66,33
2022-01-18T02:00,24.6,77,0.00,6.89,28
2022-01-18T03:00,24.2,78,0.00,6.58,20
2022-01-18T04:00,23.9,80,0.00,6.26,20
2022-01-18T05:00,23.6,81,0.00,6.04,19
2022-01-18T06:00,23.5,80,0.00,6.11,15
2022-01-18T07:00,23.5,79,0.00,5.97,14
2022-01-18T08:00,24.8,78,0.00,6.26,13
2022-01-18T09:00,26.3,71,0.00,7.60,21
2022-01-18T10:00,27.2,68,0.00,8.97,31
2022-01-18T11:00,27.7,67,0.10,9.94,36
2022-01-18T12:00,27.7,67,0.10,9.07,34
2022-01-18T13:00,27.5,68,0.00,8.35,34
2022-01-18T14:00,27.6,68,0.00,7.71,34
2022-01-18T15:00,27.6,67,0.00,8.00,37
2022-01-18T16:00,27.2,68,0.00,7.52,36
2022-01-18T17:00,26.0,74,0.00,7.13,34
2022-01-18T18:00,25.0,78,0.10,6.44,28
2022-01-18T19:00,24.5,81,0.00,5.91,24
2022-01-18T20:00,24.6,81,0.10,5.55,26
2022-01-18T21:00,24.6,82,0.10,5.64,30
2022-01-18T22:00,24.5,82,0.00,5.28,29
2022-01-18T23:00,24.4,84,0.00,5.47,31
2022-01-19T00:00,24.4,85,0.10,6.04,29
2022-01-19T01:00,24.4,86,0.10,6.16,32
2022-01-19T02:00,24.0,87,0.00,6.41,31
2022-01-19T03:00,24.0,87,0.10,5.99,26
2022-01-19T04:00,23.9,88,0.10,5.95,25
2022-01-19T05:00,23.8,89,0.10,6.00,24
2022-01-19T06:00,23.7,90,0.10,5.81,27
2022-01-19T07:00,24.1,89,0.10,5.81,27
2022-01-19T08:00,25.4,82,0.20,7.29,25
2022-01-19T09:00,26.4,77,0.10,8.43,34
2022-01-19T10:00,26.9,75,0.00,8.77,32
2022-01-19T11:00,27.8,72,0.00,8.38,33
2022-01-19T12:00,28.5,69,0.00,8.07,34
2022-01-19T13:00,28.4,69,0.00,7.53,30
2022-01-19T14:00,27.9,73,0.00,7.74,33
2022-01-19T15:00,27.5,75,0.00,7.69,32
2022-01-19T16:00,26.6,79,0.00,7.60,33
2022-01-19T17:00,25.9,82,0.00,7.17,30
2022-01-19T18:00,25.5,82,0.00,6.86,31
2022-01-19T19:00,25.4,84,0.00,6.45,30
2022-01-19T20:00,25.0,86,0.00,4.73,13
2022-01-19T21:00,24.6,88,0.00,4.77,10
2022-01-19T22:00,24.4,89,0.00,4.63,14
2022-01-19T23:00,24.1,91,0.00,4.52,18
2022-01-20T00:00,24.0,92,0.00,4.71,17
2022-01-20T01:00,23.9,93,0.00,4.72,21
2022-01-20T02:00,23.9,93,0.00,4.84,18
2022-01-20T03:00,23.8,94,0.00,4.51,13
2022-01-20T04:00,23.5,95,0.00,4.30,12
2022-01-20T05:00,23.4,95,0.00,4.30,12
2022-01-20T06:00,23.1,96,0.00,4.44,14
2022-01-20T07:00,24.0,93,0.00,4.49,17
2022-01-20T08:00,25.5,84,0.00,5.83,22
2022-01-20T09:00,27.0,76,0.00,5.81,27
2022-01-20T10:00,28.0,71,0.00,5.69,31
2022-01-20T11:00,28.5,71,0.00,5.49,33
2022-01-20T12:00,29.2,68,0.00,5.24,29
2022-01-20T13:00,29.5,66,0.00,5.01,26
2022-01-20T14:00,29.2,66,0.00,5.15,29
2022-01-20T15:00,28.6,69,0.00,5.55,34
